actors,actors_celebrity
"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin Mckidd, Joe Pantoliano, Uma Thurman, Ray Winstone, Julian Richings, Bonita Friedericy, Annie Ilonzeh, Tania Saulnier, Marie Avgeropoulos, Luisa D'Oliveira, Christie Laing, Marielle Jaffe, Elisa King, Chrystal Tisiga, Alexis Knapp, Charlie Gallant, Chelan Simmons, Andrea Brooks, Natassia Malthe, Max Van Ville, Serinda Swan, Dimitri Lekkos, Ona Grauer, Stefanie von Pfetten, Conrad Coates, Erica Cerra, Dylan Neal, Luke Camilleri, Holly Hougham, Ina Geraldine, Raquel Riskin, Yusleidis Oquendo, Janine Edwards, Valerie Tian, Violet Columbus, Sarah Smyth, Merritt Patterson, Julie Luck, Andrea Day, John Stewart, Suzanne Ristic, Deejay Jackson, Matthew Garrick, Stan Carp, Suzanna Ristic, Richard Harmon, Maria Olsen, Robin Lemon, Doyle Devereux, Tom Pickett, VJ Delos-Reyes, Tim Aas, Keith Dallas, Spencer Atkinson, Maya Washington, Loyd Bateman, Victor Ayala, Zane Holtz, Eli Zagoudakis, Matt Reimer, Rob Hayter, Lloyd Bateman, Shawn Beaton, Jarod Joseph, Reilly Dolman, Paul Cummings, Julie Brar, Dejan Loyola, Damian Arman, Mario Casoria, Dorla Bell, Carolyn Adair (II), Jade Pawluk, G. Patrick Currie, Darian Arman, Mariela Zapata, David L. Smith","[('Logan Lerman', 97), ('Brandon T. Jackson', 71), ('Alexandra Daddario', 134), ('Jake Abel', 62), ('Sean Bean', 133), ('Pierce Brosnan', 181), ('Steve Coogan', 110), ('Rosario Dawson', 136), ('Melina Kanakaredes', 94), ('Catherine Keener', 136), ('Kevin Mckidd', 76), ('Joe Pantoliano', 84), ('Uma Thurman', 310), ('Ray Winstone', 94), ('Julian Richings', 58), ('Bonita Friedericy', 38), ('Annie Ilonzeh', 50), ('Tania Saulnier', 31), ('Marie Avgeropoulos', 57), (""Luisa D'Oliveira"", 33), ('Christie Laing', 36), ('Marielle Jaffe', 40), ('Elisa King', 9), ('Chrystal Tisiga', 0), ('Alexis Knapp', 56), ('Charlie Gallant', 0), ('Chelan Simmons', 41), ('Andrea Brooks', 28), ('Natassia Malthe', 47), ('Max Van Ville', 22), ('Serinda Swan', 48), ('Dimitri Lekkos', 0), ('Ona Grauer', 36), ('Stefanie von Pfetten', 38), ('Conrad Coates', 28), ('Erica Cerra', 44), ('Dylan Neal', 51), ('Luke Camilleri', 12), ('Holly Hougham', 0), ('Ina Geraldine', 11), ('Raquel Riskin', 0), ('Yusleidis Oquendo', 0), ('Janine Edwards', 0), ('Valerie Tian', 42), ('Violet Columbus', 0), ('Sarah Smyth', 22), ('Merritt Patterson', 42), ('Julie Luck', 0), ('Andrea Day', 13), ('John Stewart', 47), ('Suzanne Ristic', 0), ('Deejay Jackson', 0), ('Matthew Garrick', 0), ('Stan Carp', 8), ('Suzanna Ristic', 0), ('Richard Harmon', 45), ('Maria Olsen', 19), ('Robin Lemon', 0), ('Doyle Devereux', 0), ('Tom Pickett', 28), ('VJ Delos-Reyes', 0), ('Tim Aas', 0), ('Keith Dallas', 9), ('Spencer Atkinson', 9), ('Maya Washington', 20), ('Loyd Bateman', 0), ('Victor Ayala', 36), ('Zane Holtz', 38), ('Eli Zagoudakis', 0), ('Matt Reimer', 0), ('Rob Hayter', 21), ('Lloyd Bateman', 0), ('Shawn Beaton', 0), ('Jarod Joseph', 22), ('Reilly Dolman', 19), ('Paul Cummings', 24), ('Julie Brar', 0), ('Dejan Loyola', 0), ('Damian Arman', 8), ('Mario Casoria', 0), ('Dorla Bell', 0), ('Carolyn Adair (II)', 0), ('Jade Pawluk', 0), ('G. Patrick Currie', 0), ('Darian Arman', 0), ('Mariela Zapata', 0), ('David L. Smith', 18)]"
"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith","[('Catherine Keener', 136), ('Amanda Peet', 201), ('Oliver Platt', 97), ('Rebecca Hall', 111), ('Sarah Steele', 42), ('Ann Morgan Guilbert', 49), ('Kevin Corrigan', 79), ('Lois Smith', 73)]"
"Dudley Moore, Bo Derek, Julie Andrews, Robert Webber, Dee Wallace, Sam Jones III, Sam J. Jones, Brian Dennehy, Max Showalter, Rad Daly, Nedra Volz, James Noble, Virginia Kiser, John Hawker, Deborah Rush, Don Calfa, Walter George Alton, Annette Martin, John Hancock, Lorry Goldman, Arthur Rosenberg, Mari Gorman, Marcy Hanson, Julia Jennings, Senilo Tanney, Kitty DeCarlo, William Lucking, Owen Sullivan, Debbie White, Laurence Carr, Camila Ashland, Adrian Aron, Gail Bowman, Burke Byrnes, Michael Champion, Doug Sheehan, J. Victor Lopez, Gregory Chase, Jon Linton, Ellen Clark, Antonia Ellis, John Chappell, Lynn Farrell, Art Kassul, Denise Crosby, Jeanetta Arnette","[('Dudley Moore', 149), ('Bo Derek', 119), ('Julie Andrews', 451), ('Robert Webber', 83), ('Dee Wallace', 81), ('Sam Jones III', 37), ('Sam J. Jones', 53), ('Brian Dennehy', 120), ('Max Showalter', 47), ('Rad Daly', 0), ('Nedra Volz', 38), ('James Noble', 19), ('Virginia Kiser', 0), ('John Hawker', 9), ('Deborah Rush', 34), ('Don Calfa', 48), ('Walter George Alton', 21), ('Annette Martin', 10), ('John Hancock', 112), ('Lorry Goldman', 0), ('Arthur Rosenberg', 95), ('Mari Gorman', 22), ('Marcy Hanson', 15), ('Julia Jennings', 11), ('Senilo Tanney', 0), ('Kitty DeCarlo', 0), ('William Lucking', 40), ('Owen Sullivan', 0), ('Debbie White', 14), ('Laurence Carr', 25), ('Camila Ashland', 32), ('Adrian Aron', 0), ('Gail Bowman', 0), ('Burke Byrnes', 32), ('Michael Champion', 23), ('Doug Sheehan', 30), ('J. Victor Lopez', 0), ('Gregory Chase', 10), ('Jon Linton', 0), ('Ellen Clark', 33), ('Antonia Ellis', 17), ('John Chappell', 12), ('Lynn Farrell', 0), ('Art Kassul', 0), ('Denise Crosby', 83), ('Jeanetta Arnette', 42)]"
"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca","[('Martin Balsam', 145), ('John Fiedler', 102), ('Lee J. Cobb', 133), ('E.G. Marshall', 113), ('Jack Klugman', 110), ('Edward Binns', 92), ('Jack Warden', 122), ('Henry Fonda', 232), ('Joseph Sweeney', 66), ('Ed Begley Sr.', 0), ('George Voskovec', 162), ('Robert Webber', 83), ('Rudy Bond', 58), ('James A. Kelly', 49), ('Billy Nelson', 38), ('John Savoca', 23)]"
"James Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran","[('James Mason', 159), ('Kirk Douglas', 253), ('Paul Lukas', 97), ('Peter Lorre', 159), ('Robert J. Wilke', 54), ('Carleton Young', 44), ('Bob Wilke', 36), ('Ted de Corsia', 62), ('Percy Helton', 46), ('Ted Cooper', 24), ('Eddie Marr', 23), ('Fred Graham', 35), ('Esmeralda', 24), ('J.M. Kerrigan', 48), ('Harry Harvey', 33), ('Herb Vigran', 43)]"
"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar","[('Steven Strait', 72), ('Camilla Belle', 85), ('Cliff Curtis', 74), ('Joel Virgel', 26), ('Affif Ben Badra', 17), ('Mo Zainal', 0), ('Nathanael Baring', 0), ('Marco Khan', 37), ('Reece Ritchie', 38), ('Joel Fry', 42), ('Junior Oliphant', 0), (""Louise Tu'u"", 9), ('David Dennis', 83), ('Kristian Beazley', 0), ('Mona Hammond', 40), ('Jacob Renton', 0), ('Grayson Hunt Urwin', 0), ('Fahruq Valley-Omar', 0), ('Boubacar Badaine', 0), ('Joe Vaz', 29), ('Charles Baloyi', 9), ('Tim Barlow', 37), ('Gabriel Malema', 9), ('Mark Simmons', 10), ('Hannah Westbury', 0), ('Affif Ben Badra', 17), ('Mo Zinal', 7), ('Omar Sharif', 179), ('Farouk Valley-Omar', 13)]"
"Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone","[('Robert Donat', 117), ('Madeleine Carroll', 103), ('Godfrey Tearle', 50), ('Lucie Mannheim', 70), ('Peggy Ashcroft', 146), ('John Laurie', 74), ('Helen Haye', 58), ('Wylie Watson', 26), ('Frank Cellier', 51), ('Peggy Simpson', 30), ('Gus McNaughton', 26), ('Jerry Verno', 24), ('Miles Malleson', 73), ('Marianne Stone', 41)]"
"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Barry Curtis, Jerry Hartleben, Woodrow Chambliss","[('Glenn Ford', 140), ('Van Heflin', 104), ('Felicia Farr', 51), ('Leora Dana', 44), ('Henry Jones', 59), ('Richard Jaeckel', 71), ('Robert Emhardt', 46), ('Sheridan Comerate', 10), ('George Mitchell', 91), ('Robert Ellenstein', 35), ('Ford Rainey', 38), ('Barry Curtis', 17), ('Jerry Hartleben', 0), ('Woodrow Chambliss', 25)]"
"Heather Beers, Gary Neilson, Lisa McCammon, Jackie Winterrose-Fullerup, Jeremy Elliott, Randy King","[('Heather Beers', 19), ('Gary Neilson', 0), ('Lisa McCammon', 0), ('Jackie Winterrose-Fullerup', 0), ('Jeremy Elliott', 0), ('Randy King', 0)]"
"Walter Huston, Una Merkel, Kay Hammond, Ian Keith, Jason Robards Sr., E. Alyn Warren, Hobart Bosworth, Fred Warren, Henry B. Walthall, Frank Campeau, Francis Ford, William L. Thorne, Lucille La Verne, Helen Freeman, Oscar Apfel, Otto Hoffman, Edgar Dearing, Russell Simpson, Helen Ware, Charles Crockett, Jason Robards Sr., Gordon Thorpe, James Bradbury Sr., Cameron Prud'Homme, James Eagles, Hank Bell, James Bradbury Jr, Carl Stockdale, George MacQuarrie, Ralph Lewis, Mary Forbes, Robert Brower, Henry Kolker, Robert E. Homans","[('Walter Huston', 128), ('Una Merkel', 77), ('Kay Hammond', 55), ('Ian Keith', 63), ('Jason Robards Sr.', 59), ('E. Alyn Warren', 39), ('Hobart Bosworth', 78), ('Fred Warren', 39), ('Henry B. Walthall', 62), ('Frank Campeau', 45), ('Francis Ford', 56), ('William L. Thorne', 24), ('Lucille La Verne', 55), ('Helen Freeman', 31), ('Oscar Apfel', 55), ('Otto Hoffman', 37), ('Edgar Dearing', 40), ('Russell Simpson', 46), ('Helen Ware', 43), ('Charles Crockett', 13), ('Jason Robards Sr.', 59), ('Gordon Thorpe', 8), ('James Bradbury Sr.', 0), (""Cameron Prud'Homme"", 24), ('James Eagles', 8), ('Hank Bell', 24), ('James Bradbury Jr', 19), ('Carl Stockdale', 37), ('George MacQuarrie', 34), ('Ralph Lewis', 54), ('Mary Forbes', 46), ('Robert Brower', 28), ('Henry Kolker', 60), ('Robert E. Homans', 0)]"
"Hitomi Kuroki, Rio Kanno, Shigemitsu Ogi, Mirei Oguchi, Asami Mizukawa, Yu Tokui, Fumiyo Kohinata, Isao Yatsu","[('Hitomi Kuroki', 66), ('Rio Kanno', 32), ('Shigemitsu Ogi', 40), ('Mirei Oguchi', 0), ('Asami Mizukawa', 48), ('Yu Tokui', 26), ('Fumiyo Kohinata', 48), ('Isao Yatsu', 26)]"
